"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","timeout","failed_images","failed_audio","failed_video","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","null","image-keyboard-response","456","2.0.0","468708","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","street","E","non-repeat","null","397","stimuli/street_56.jpg","","","","",""
"","null","image-keyboard-response","457","2.0.0","469721","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","stream","F","non-repeat","null","398","stimuli/stream_45.jpg","","","","",""
"","null","image-keyboard-response","458","2.0.0","470737","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","399","stimuli/woods_42.jpg","","","","",""
"","null","image-keyboard-response","459","2.0.0","471741","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","400","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","460","2.0.0","472755","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","401","stimuli/bathroom_63.jpg","","","","",""
"","null","image-keyboard-response","461","2.0.0","473756","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","bridge","G","non-repeat","null","402","stimuli/bridge_55.jpg","","","","",""
"","null","image-keyboard-response","462","2.0.0","474760","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","field","H","non-repeat","null","403","stimuli/field_18.jpg","","","","",""
"","null","image-keyboard-response","463","2.0.0","475775","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","playground","I","non-repeat","null","404","stimuli/playground_23.jpg","","","","",""
"","null","image-keyboard-response","464","2.0.0","476788","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","405","stimuli/woods_42.jpg","","","","",""
"","null","image-keyboard-response","465","2.0.0","477795","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","406","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","466","2.0.0","478799","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","407","stimuli/bathroom_63.jpg","","","","",""
"","1949","html-keyboard-response","467","2.0.0","480748","pbtb0o7fkvk","camel","
    <p>For this trial, you will see a sequneces of images.</p>
    <p>Press 1 or 2 if the first or second sequence felt familiar..</p>
    <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","468","2.0.0","481750","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","469","2.0.0","482812","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","","","","","","","","","","",""
