"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","","","","","image-keyboard-response","129","2.0.0","137759","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","105","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","130","2.0.0","138761","pwnth7f2j08","seal","null","stimuli/woods_17.jpg","null","woods","E","non-repeat","null","106","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","131","2.0.0","139763","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","107","stimuli/bathroom_38.jpg","","","","",""
"","","","","","image-keyboard-response","132","2.0.0","140766","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","108","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","133","2.0.0","141768","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","109","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","134","2.0.0","142769","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","110","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","135","2.0.0","143771","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","111","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","136","2.0.0","144774","pwnth7f2j08","seal","523","stimuli/desert_58.jpg"," ","desert","J","repeat"," ","111","","","","","",""
"","","","","","image-keyboard-response","137","2.0.0","145777","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","112","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","138","2.0.0","146779","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","113","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","139","2.0.0","147782","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","114","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","140","2.0.0","148784","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","115","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","141","2.0.0","149786","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","116","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","142","2.0.0","150789","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","117","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","143","2.0.0","151792","pwnth7f2j08","seal","null","stimuli/woods_17.jpg","null","woods","E","non-repeat","null","118","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","144","2.0.0","152795","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","119","stimuli/bathroom_38.jpg","","","","",""
"","","","","","image-keyboard-response","145","2.0.0","153796","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","120","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","146","2.0.0","154798","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","121","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","147","2.0.0","155800","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","122","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","148","2.0.0","156803","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","123","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","149","2.0.0","157805","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","124","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","150","2.0.0","158807","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","125","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","151","2.0.0","159810","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","126","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","152","2.0.0","160812","pwnth7f2j08","seal","null","stimuli/woods_17.jpg","null","woods","E","non-repeat","null","127","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","153","2.0.0","161815","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","128","stimuli/bathroom_38.jpg","","","","",""
"","","","","","image-keyboard-response","154","2.0.0","162818","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","129","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","155","2.0.0","163820","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","130","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","156","2.0.0","164823","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","131","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","157","2.0.0","165825","pwnth7f2j08","seal","674","stimuli/street_13.jpg"," ","street","L","repeat"," ","131","","","","","",""
"","","","","","image-keyboard-response","158","2.0.0","166828","pwnth7f2j08","seal","null","stimuli/bridge_39.jpg","null","bridge","G","non-repeat","null","132","stimuli/bridge_39.jpg","","","","",""
"","","","","","image-keyboard-response","159","2.0.0","167830","pwnth7f2j08","seal","680","stimuli/bridge_39.jpg"," ","bridge","G","repeat"," ","132","","","","","",""
"","","","","","image-keyboard-response","160","2.0.0","168833","pwnth7f2j08","seal","null","stimuli/gym_51.jpg","null","gym","H","non-repeat","null","133","stimuli/gym_51.jpg","","","","",""
"","","","","","image-keyboard-response","161","2.0.0","169836","pwnth7f2j08","seal","null","stimuli/bar_6.jpg","null","bar","I","non-repeat","null","134","stimuli/bar_6.jpg","","","","",""
"","","","","","image-keyboard-response","162","2.0.0","170838","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","135","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","163","2.0.0","171841","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","136","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","164","2.0.0","172843","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","137","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","165","2.0.0","173845","pwnth7f2j08","seal","null","stimuli/bridge_39.jpg","null","bridge","G","non-repeat","null","138","stimuli/bridge_39.jpg","","","","",""
"","","","","","image-keyboard-response","166","2.0.0","174847","pwnth7f2j08","seal","null","stimuli/gym_51.jpg","null","gym","H","non-repeat","null","139","stimuli/gym_51.jpg","","","","",""
"","","","","","image-keyboard-response","167","2.0.0","175850","pwnth7f2j08","seal","null","stimuli/bar_6.jpg","null","bar","I","non-repeat","null","140","stimuli/bar_6.jpg","","","","",""
"","","","","","image-keyboard-response","168","2.0.0","176852","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","141","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","169","2.0.0","177855","pwnth7f2j08","seal","680","stimuli/field_19.jpg"," ","field","D","repeat"," ","141","","","","","",""
"","","","","","image-keyboard-response","170","2.0.0","178858","pwnth7f2j08","seal","null","stimuli/woods_17.jpg","null","woods","E","non-repeat","null","142","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","171","2.0.0","179861","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","143","stimuli/bathroom_38.jpg","","","","",""
"","","","","","image-keyboard-response","172","2.0.0","180864","pwnth7f2j08","seal","null","stimuli/bridge_39.jpg","null","bridge","G","non-repeat","null","144","stimuli/bridge_39.jpg","","","","",""
"","","","","","image-keyboard-response","173","2.0.0","181867","pwnth7f2j08","seal","null","stimuli/bridge_39.jpg","null","bridge","G","repeat"," ","144","","","","","",""
"","","","","","image-keyboard-response","174","2.0.0","182869","pwnth7f2j08","seal","null","stimuli/gym_51.jpg","null","gym","H","non-repeat","null","145","stimuli/gym_51.jpg","","","","",""
"","","","","","image-keyboard-response","175","2.0.0","183873","pwnth7f2j08","seal","null","stimuli/bar_6.jpg","null","bar","I","non-repeat","null","146","stimuli/bar_6.jpg","","","","",""
"","","","","","image-keyboard-response","176","2.0.0","184876","pwnth7f2j08","seal","null","stimuli/bar_6.jpg","null","bar","I","repeat"," ","146","","","","","",""
"","","","","","image-keyboard-response","177","2.0.0","185878","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","147","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","178","2.0.0","186881","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","148","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","179","2.0.0","187884","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","149","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","180","2.0.0","188886","pwnth7f2j08","seal","null","stimuli/bridge_39.jpg","null","bridge","G","non-repeat","null","150","stimuli/bridge_39.jpg","","","","",""
"","","","","","image-keyboard-response","181","2.0.0","189889","pwnth7f2j08","seal","null","stimuli/gym_51.jpg","null","gym","H","non-repeat","null","151","stimuli/gym_51.jpg","","","","",""
"","","","","","image-keyboard-response","182","2.0.0","190892","pwnth7f2j08","seal","null","stimuli/bar_6.jpg","null","bar","I","non-repeat","null","152","stimuli/bar_6.jpg","","","","",""
"","","","","","image-keyboard-response","183","2.0.0","191895","pwnth7f2j08","seal","612","stimuli/bar_6.jpg"," ","bar","I","repeat"," ","152","","","","","",""
"","","","","","image-keyboard-response","184","2.0.0","192898","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","153","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","185","2.0.0","193900","pwnth7f2j08","seal","584","stimuli/desert_58.jpg"," ","desert","J","repeat"," ","153","","","","","",""
"","","","","","image-keyboard-response","186","2.0.0","194903","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","154","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","187","2.0.0","195905","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","155","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","188","2.0.0","196907","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","repeat"," ","155","","","","","",""
"","","","","","image-keyboard-response","189","2.0.0","197911","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","156","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","190","2.0.0","198914","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","157","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","191","2.0.0","199917","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","158","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","192","2.0.0","200926","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","159","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","193","2.0.0","201929","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","160","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","194","2.0.0","202931","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","161","stimuli/street_13.jpg","","","","",""
