"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","","","","","html-keyboard-response","543","2.0.0","583135","p20xng64d9m","p73","null","<p></p>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","544","2.0.0","584138","p20xng64d9m","p73","null","<p>Sequence 2</p>","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","545","2.0.0","585141","p20xng64d9m","p73","null","stimuli/bathroom_36.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","546","2.0.0","586144","p20xng64d9m","p73","null","stimuli/field_49.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","547","2.0.0","587148","p20xng64d9m","p73","null","stimuli/coast_42.jpg","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","548","2.0.0","587777","p20xng64d9m","p73","627","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","2","","","2","","","","[""D"",""E"",""F""]","[""D"",""H"",""L""]","true","[""<p>Sequence 1</p>"",""stimuli/bathroom_36.jpg"",""stimuli/bar_29.jpg"",""stimuli/bridge_48.jpg""]","[""<p>Sequence 2</p>"",""stimuli/bathroom_36.jpg"",""stimuli/field_49.jpg"",""stimuli/coast_42.jpg""]"
"","","","","","html-keyboard-response","549","2.0.0","588780","p20xng64d9m","p73","null","<p>Sequence 1</p>","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","550","2.0.0","589784","p20xng64d9m","p73","null","stimuli/playground_11.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","551","2.0.0","590789","p20xng64d9m","p73","null","stimuli/bar_29.jpg","null","","","","","","","","","","",""
"","","","","","image-keyboard-response","552","2.0.0","591795","p20xng64d9m","p73","null","stimuli/stream_50.jpg","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","553","2.0.0","592797","p20xng64d9m","p73","null","<p></p>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","554","2.0.0","593800","p20xng64d9m","p73","null","<p>Sequence 2</p>","null","","","","","","","","","","",""
